First Word,Second Word,Similarity
pena,peccato,0.928
pena,malvagio,0.96
pena,peccare,0.938
pena,colpa,0.861
pena,ira,0.86
pena,inferno,0.941
pena,martiro,0.962
pena,demonio,0.967
pena,tormento,0.948
pena,piangere,0.739
punire,peccato,0.957
punire,malvagio,0.987
punire,peccare,0.979
punire,colpa,0.918
punire,ira,0.906
punire,inferno,0.981
punire,martiro,0.98
punire,demonio,0.982
punire,tormento,0.973
punire,piangere,0.794
colpa,peccato,0.886
colpa,malvagio,0.897
colpa,peccare,0.92
colpa,colpa,1.0
colpa,ira,0.918
colpa,inferno,0.892
colpa,martiro,0.894
colpa,demonio,0.892
colpa,tormento,0.92
colpa,piangere,0.808
inferno,peccato,0.973
inferno,malvagio,0.985
inferno,peccare,0.98
inferno,colpa,0.892
inferno,ira,0.853
inferno,inferno,1.0
inferno,martiro,0.983
inferno,demonio,0.976
inferno,tormento,0.948
inferno,piangere,0.728
appressare,peccato,0.97
appressare,malvagio,0.972
appressare,peccare,0.957
appressare,colpa,0.874
appressare,ira,0.839
appressare,inferno,0.97
appressare,martiro,0.985
appressare,demonio,0.977
appressare,tormento,0.943
appressare,piangere,0.702
giusto,peccato,0.94
giusto,malvagio,0.954
giusto,peccare,0.959
giusto,colpa,0.952
giusto,ira,0.925
giusto,inferno,0.948
giusto,martiro,0.952
giusto,demonio,0.953
giusto,tormento,0.964
giusto,piangere,0.799
purgare,peccato,0.978
purgare,malvagio,0.992
purgare,peccare,0.961
purgare,colpa,0.888
purgare,ira,0.877
purgare,inferno,0.979
purgare,martiro,0.981
purgare,demonio,0.978
purgare,tormento,0.96
purgare,piangere,0.733
